Event,Division,Sex,Year,Points
10000m,NAIA,Men,2010,777
10000m,NAIA,Men,2011,813
10000m,NAIA,Men,2012,758
10000m,NAIA,Men,2013,767
10000m,NAIA,Men,2014,767
10000m,NAIA,Men,2015,771
10000m,NAIA,Men,2016,740
10000m,NAIA,Men,2017,743
10000m,NAIA,Men,2018,752
10000m,NAIA,Men,2019,761
10000m,NAIA,Men,2021,797
10000m,NAIA,Men,2022,816
10000m,NAIA,Men,2023,819
10000m,NAIA,Women,2010,801
10000m,NAIA,Women,2011,807
10000m,NAIA,Women,2012,779
10000m,NAIA,Women,2013,785
10000m,NAIA,Women,2014,785
10000m,NAIA,Women,2015,795
10000m,NAIA,Women,2016,749
10000m,NAIA,Women,2017,779
10000m,NAIA,Women,2018,782
10000m,NAIA,Women,2019,800
10000m,NAIA,Women,2021,781
10000m,NAIA,Women,2022,803
10000m,NAIA,Women,2023,807
10000m,NCAA D-I,Men,2010,1015
10000m,NCAA D-I,Men,2011,1007
10000m,NCAA D-I,Men,2012,1016
10000m,NCAA D-I,Men,2013,1003
10000m,NCAA D-I,Men,2014,1021
10000m,NCAA D-I,Men,2015,1017
10000m,NCAA D-I,Men,2016,1014
10000m,NCAA D-I,Men,2017,1019
10000m,NCAA D-I,Men,2018,1018
10000m,NCAA D-I,Men,2019,1032
10000m,NCAA D-I,Men,2021,1054
10000m,NCAA D-I,Men,2022,1074
10000m,NCAA D-I,Men,2023,1073
10000m,NCAA D-I,Men,2024,741
10000m,NCAA D-I,Women,2010,1008
10000m,NCAA D-I,Women,2011,1017
10000m,NCAA D-I,Women,2012,1024
10000m,NCAA D-I,Women,2013,1023
10000m,NCAA D-I,Women,2014,1033
10000m,NCAA D-I,Women,2015,1034
10000m,NCAA D-I,Women,2016,1029
10000m,NCAA D-I,Women,2017,1032
10000m,NCAA D-I,Women,2018,1038
10000m,NCAA D-I,Women,2019,1046
10000m,NCAA D-I,Women,2021,1049
10000m,NCAA D-I,Women,2022,1050
10000m,NCAA D-I,Women,2023,1070
10000m,NCAA D-I,Women,2024,779
10000m,NCAA D-II,Men,2010,872
10000m,NCAA D-II,Men,2011,874
10000m,NCAA D-II,Men,2012,884
10000m,NCAA D-II,Men,2013,886
10000m,NCAA D-II,Men,2014,898
10000m,NCAA D-II,Men,2015,884
10000m,NCAA D-II,Men,2016,906
10000m,NCAA D-II,Men,2017,899
10000m,NCAA D-II,Men,2018,879
10000m,NCAA D-II,Men,2019,896
10000m,NCAA D-II,Men,2021,941
10000m,NCAA D-II,Men,2022,962
10000m,NCAA D-II,Men,2023,962
10000m,NCAA D-II,Women,2010,878
10000m,NCAA D-II,Women,2011,878
10000m,NCAA D-II,Women,2012,887
10000m,NCAA D-II,Women,2013,892
10000m,NCAA D-II,Women,2014,888
10000m,NCAA D-II,Women,2015,899
10000m,NCAA D-II,Women,2016,906
10000m,NCAA D-II,Women,2017,906
10000m,NCAA D-II,Women,2018,900
10000m,NCAA D-II,Women,2019,895
10000m,NCAA D-II,Women,2021,899
10000m,NCAA D-II,Women,2022,933
10000m,NCAA D-II,Women,2023,939
10000m,NCAA D-III,Men,2010,838
10000m,NCAA D-III,Men,2011,860
10000m,NCAA D-III,Men,2012,876
10000m,NCAA D-III,Men,2013,869
10000m,NCAA D-III,Men,2014,863
10000m,NCAA D-III,Men,2015,847
10000m,NCAA D-III,Men,2016,859
10000m,NCAA D-III,Men,2017,863
10000m,NCAA D-III,Men,2018,864
10000m,NCAA D-III,Men,2019,872
10000m,NCAA D-III,Men,2021,853
10000m,NCAA D-III,Men,2022,909
10000m,NCAA D-III,Men,2023,915
10000m,NCAA D-III,Women,2010,863
10000m,NCAA D-III,Women,2011,870
10000m,NCAA D-III,Women,2012,872
10000m,NCAA D-III,Women,2013,880
10000m,NCAA D-III,Women,2014,885
10000m,NCAA D-III,Women,2015,869
10000m,NCAA D-III,Women,2016,881
10000m,NCAA D-III,Women,2017,882
10000m,NCAA D-III,Women,2018,878
10000m,NCAA D-III,Women,2019,877
10000m,NCAA D-III,Women,2021,853
10000m,NCAA D-III,Women,2022,887
10000m,NCAA D-III,Women,2023,900
10000m,World,Men,2010,1142
10000m,World,Men,2011,1165
10000m,World,Men,2012,1169
10000m,World,Men,2013,1148
10000m,World,Men,2014,1139
10000m,World,Men,2015,1157
10000m,World,Men,2016,1166
10000m,World,Men,2017,1156
10000m,World,Men,2018,1139
10000m,World,Men,2019,1161
10000m,World,Men,2021,1176
10000m,World,Men,2022,1182
10000m,World,Men,2023,1173
10000m,World,Women,2010,1121
10000m,World,Women,2011,1132
10000m,World,Women,2012,1138
10000m,World,Women,2013,1131
10000m,World,Women,2014,1124
10000m,World,Women,2015,1142
10000m,World,Women,2016,1157
10000m,World,Women,2017,1142
10000m,World,Women,2018,1132
10000m,World,Women,2019,1154
10000m,World,Women,2021,1173
10000m,World,Women,2022,1170
10000m,World,Women,2023,1166
100m,Kansas 1A,Men,2010,716
100m,Kansas 1A,Men,2011,632
100m,Kansas 1A,Men,2012,694
100m,Kansas 1A,Men,2013,706
100m,Kansas 1A,Men,2014,720
100m,Kansas 1A,Men,2015,707
100m,Kansas 1A,Men,2016,730
100m,Kansas 1A,Men,2017,729
100m,Kansas 1A,Men,2018,686
100m,Kansas 1A,Men,2019,726
100m,Kansas 1A,Men,2021,700
100m,Kansas 1A,Men,2022,687
100m,Kansas 1A,Men,2023,692
100m,Kansas 1A,Women,2010,684
100m,Kansas 1A,Women,2011,720
100m,Kansas 1A,Women,2012,684
100m,Kansas 1A,Women,2013,695
100m,Kansas 1A,Women,2014,708
100m,Kansas 1A,Women,2015,712
100m,Kansas 1A,Women,2016,739
100m,Kansas 1A,Women,2017,725
100m,Kansas 1A,Women,2018,715
100m,Kansas 1A,Women,2019,706
100m,Kansas 1A,Women,2021,699
100m,Kansas 1A,Women,2022,702
100m,Kansas 1A,Women,2023,715
100m,Kansas 3A,Men,2010,694
100m,Kansas 3A,Men,2011,594
100m,Kansas 3A,Men,2012,720
100m,Kansas 3A,Men,2013,704
100m,Kansas 3A,Men,2014,732
100m,Kansas 3A,Men,2015,738
100m,Kansas 3A,Men,2016,761
100m,Kansas 3A,Men,2017,747
100m,Kansas 3A,Men,2018,749
100m,Kansas 3A,Men,2019,755
100m,Kansas 3A,Men,2021,767
100m,Kansas 3A,Men,2022,749
100m,Kansas 3A,Men,2023,776
100m,Kansas 3A,Women,2010,651
100m,Kansas 3A,Women,2011,629
100m,Kansas 3A,Women,2012,713
100m,Kansas 3A,Women,2013,700
100m,Kansas 3A,Women,2014,709
100m,Kansas 3A,Women,2015,734
100m,Kansas 3A,Women,2016,754
100m,Kansas 3A,Women,2017,726
100m,Kansas 3A,Women,2018,741
100m,Kansas 3A,Women,2019,747
100m,Kansas 3A,Women,2021,739
100m,Kansas 3A,Women,2022,760
100m,Kansas 3A,Women,2023,763
100m,Kansas 6A,Men,2010,793
100m,Kansas 6A,Men,2011,704
100m,Kansas 6A,Men,2012,783
100m,Kansas 6A,Men,2013,774
100m,Kansas 6A,Men,2014,785
100m,Kansas 6A,Men,2015,797
100m,Kansas 6A,Men,2016,838
100m,Kansas 6A,Men,2017,818
100m,Kansas 6A,Men,2018,818
100m,Kansas 6A,Men,2019,824
100m,Kansas 6A,Men,2021,816
100m,Kansas 6A,Men,2022,852
100m,Kansas 6A,Men,2023,851
100m,Kansas 6A,Women,2010,769
100m,Kansas 6A,Women,2011,708
100m,Kansas 6A,Women,2012,756
100m,Kansas 6A,Women,2013,762
100m,Kansas 6A,Women,2014,768
100m,Kansas 6A,Women,2015,794
100m,Kansas 6A,Women,2016,807
100m,Kansas 6A,Women,2017,800
100m,Kansas 6A,Women,2018,803
100m,Kansas 6A,Women,2019,793
100m,Kansas 6A,Women,2021,797
100m,Kansas 6A,Women,2022,823
100m,Kansas 6A,Women,2023,810
100m,NAIA,Men,2010,942
100m,NAIA,Men,2011,966
100m,NAIA,Men,2012,947
100m,NAIA,Men,2013,939
100m,NAIA,Men,2014,954
100m,NAIA,Men,2015,960
100m,NAIA,Men,2016,970
100m,NAIA,Men,2017,980
100m,NAIA,Men,2018,974
100m,NAIA,Men,2019,973
100m,NAIA,Men,2021,984
100m,NAIA,Men,2022,998
100m,NAIA,Men,2023,1020
100m,NAIA,Women,2010,912
100m,NAIA,Women,2011,940
100m,NAIA,Women,2012,943
100m,NAIA,Women,2013,935
100m,NAIA,Women,2014,954
100m,NAIA,Women,2015,949
100m,NAIA,Women,2016,947
100m,NAIA,Women,2017,956
100m,NAIA,Women,2018,956
100m,NAIA,Women,2019,958
100m,NAIA,Women,2021,957
100m,NAIA,Women,2022,972
100m,NAIA,Women,2023,981
100m,NCAA D-I,Men,2010,1081
100m,NCAA D-I,Men,2011,1097
100m,NCAA D-I,Men,2012,1098
100m,NCAA D-I,Men,2013,1090
100m,NCAA D-I,Men,2014,1103
100m,NCAA D-I,Men,2015,1108
100m,NCAA D-I,Men,2016,1101
100m,NCAA D-I,Men,2017,1124
100m,NCAA D-I,Men,2018,1120
100m,NCAA D-I,Men,2019,1120
100m,NCAA D-I,Men,2021,1124
100m,NCAA D-I,Men,2022,1152
100m,NCAA D-I,Men,2023,1149
100m,NCAA D-I,Men,2024,1052
100m,NCAA D-I,Women,2010,1089
100m,NCAA D-I,Women,2011,1109
100m,NCAA D-I,Women,2012,1099
100m,NCAA D-I,Women,2013,1099
100m,NCAA D-I,Women,2014,1105
100m,NCAA D-I,Women,2015,1108
100m,NCAA D-I,Women,2016,1117
100m,NCAA D-I,Women,2017,1122
100m,NCAA D-I,Women,2018,1134
100m,NCAA D-I,Women,2019,1116
100m,NCAA D-I,Women,2021,1123
100m,NCAA D-I,Women,2022,1136
100m,NCAA D-I,Women,2023,1146
100m,NCAA D-I,Women,2024,1049
100m,NCAA D-II,Men,2010,986
100m,NCAA D-II,Men,2011,1003
100m,NCAA D-II,Men,2012,1000
100m,NCAA D-II,Men,2013,1015
100m,NCAA D-II,Men,2014,996
100m,NCAA D-II,Men,2015,1010
100m,NCAA D-II,Men,2016,1022
100m,NCAA D-II,Men,2017,1026
100m,NCAA D-II,Men,2018,1022
100m,NCAA D-II,Men,2019,1020
100m,NCAA D-II,Men,2021,1020
100m,NCAA D-II,Men,2022,1053
100m,NCAA D-II,Men,2023,1070
100m,NCAA D-II,Women,2010,967
100m,NCAA D-II,Women,2011,994
100m,NCAA D-II,Women,2012,985
100m,NCAA D-II,Women,2013,992
100m,NCAA D-II,Women,2014,992
100m,NCAA D-II,Women,2015,1000
100m,NCAA D-II,Women,2016,996
100m,NCAA D-II,Women,2017,1015
100m,NCAA D-II,Women,2018,1012
100m,NCAA D-II,Women,2019,1021
100m,NCAA D-II,Women,2021,1018
100m,NCAA D-II,Women,2022,1032
100m,NCAA D-II,Women,2023,1047
100m,NCAA D-III,Men,2010,929
100m,NCAA D-III,Men,2011,933
100m,NCAA D-III,Men,2012,951
100m,NCAA D-III,Men,2013,939
100m,NCAA D-III,Men,2014,956
100m,NCAA D-III,Men,2015,953
100m,NCAA D-III,Men,2016,957
100m,NCAA D-III,Men,2017,959
100m,NCAA D-III,Men,2018,957
100m,NCAA D-III,Men,2019,966
100m,NCAA D-III,Men,2021,958
100m,NCAA D-III,Men,2022,1005
100m,NCAA D-III,Men,2023,1004
100m,NCAA D-III,Women,2010,907
100m,NCAA D-III,Women,2011,917
100m,NCAA D-III,Women,2012,937
100m,NCAA D-III,Women,2013,931
100m,NCAA D-III,Women,2014,941
100m,NCAA D-III,Women,2015,946
100m,NCAA D-III,Women,2016,945
100m,NCAA D-III,Women,2017,953
100m,NCAA D-III,Women,2018,942
100m,NCAA D-III,Women,2019,936
100m,NCAA D-III,Women,2021,940
100m,NCAA D-III,Women,2022,962
100m,NCAA D-III,Women,2023,977
100m,World,Men,2010,1162
100m,World,Men,2011,1175
100m,World,Men,2012,1179
100m,World,Men,2013,1175
100m,World,Men,2014,1180
100m,World,Men,2015,1191
100m,World,Men,2016,1194
100m,World,Men,2017,1183
100m,World,Men,2018,1187
100m,World,Men,2019,1186
100m,World,Men,2021,1192
100m,World,Men,2022,1199
100m,World,Men,2023,1205
100m,World,Women,2010,1148
100m,World,Women,2011,1158
100m,World,Women,2012,1162
100m,World,Women,2013,1160
100m,World,Women,2014,1162
100m,World,Women,2015,1174
100m,World,Women,2016,1173
100m,World,Women,2017,1172
100m,World,Women,2018,1173
100m,World,Women,2019,1170
100m,World,Women,2021,1181
100m,World,Women,2022,1192
100m,World,Women,2023,1189
1500m,NAIA,Men,2010,885
1500m,NAIA,Men,2011,905
1500m,NAIA,Men,2012,897
1500m,NAIA,Men,2013,883
1500m,NAIA,Men,2014,893
1500m,NAIA,Men,2015,904
1500m,NAIA,Men,2016,877
1500m,NAIA,Men,2017,878
1500m,NAIA,Men,2018,865
1500m,NAIA,Men,2019,864
1500m,NAIA,Men,2021,865
1500m,NAIA,Men,2022,903
1500m,NAIA,Men,2023,915
1500m,NAIA,Women,2010,869
1500m,NAIA,Women,2011,870
1500m,NAIA,Women,2012,868
1500m,NAIA,Women,2013,868
1500m,NAIA,Women,2014,881
1500m,NAIA,Women,2015,889
1500m,NAIA,Women,2016,886
1500m,NAIA,Women,2017,877
1500m,NAIA,Women,2018,860
1500m,NAIA,Women,2019,866
1500m,NAIA,Women,2021,855
1500m,NAIA,Women,2022,886
1500m,NAIA,Women,2023,888
1500m,NCAA D-I,Men,2010,1059
1500m,NCAA D-I,Men,2011,1054
1500m,NCAA D-I,Men,2012,1061
1500m,NCAA D-I,Men,2013,1061
1500m,NCAA D-I,Men,2014,1062
1500m,NCAA D-I,Men,2015,1071
1500m,NCAA D-I,Men,2016,1067
1500m,NCAA D-I,Men,2017,1065
1500m,NCAA D-I,Men,2018,1067
1500m,NCAA D-I,Men,2019,1061
1500m,NCAA D-I,Men,2021,1099
1500m,NCAA D-I,Men,2022,1104
1500m,NCAA D-I,Men,2023,1104
1500m,NCAA D-I,Men,2024,959
1500m,NCAA D-I,Women,2010,1042
1500m,NCAA D-I,Women,2011,1048
1500m,NCAA D-I,Women,2012,1057
1500m,NCAA D-I,Women,2013,1059
1500m,NCAA D-I,Women,2014,1052
1500m,NCAA D-I,Women,2015,1059
1500m,NCAA D-I,Women,2016,1056
1500m,NCAA D-I,Women,2017,1061
1500m,NCAA D-I,Women,2018,1061
1500m,NCAA D-I,Women,2019,1063
1500m,NCAA D-I,Women,2021,1082
1500m,NCAA D-I,Women,2022,1080
1500m,NCAA D-I,Women,2023,1089
1500m,NCAA D-I,Women,2024,982
1500m,NCAA D-II,Men,2010,935
1500m,NCAA D-II,Men,2011,933
1500m,NCAA D-II,Men,2012,950
1500m,NCAA D-II,Men,2013,942
1500m,NCAA D-II,Men,2014,953
1500m,NCAA D-II,Men,2015,960
1500m,NCAA D-II,Men,2016,966
1500m,NCAA D-II,Men,2017,969
1500m,NCAA D-II,Men,2018,961
1500m,NCAA D-II,Men,2019,962
1500m,NCAA D-II,Men,2021,994
1500m,NCAA D-II,Men,2022,1011
1500m,NCAA D-II,Men,2023,1005
1500m,NCAA D-II,Women,2010,927
1500m,NCAA D-II,Women,2011,931
1500m,NCAA D-II,Women,2012,938
1500m,NCAA D-II,Women,2013,932
1500m,NCAA D-II,Women,2014,940
1500m,NCAA D-II,Women,2015,952
1500m,NCAA D-II,Women,2016,952
1500m,NCAA D-II,Women,2017,958
1500m,NCAA D-II,Women,2018,957
1500m,NCAA D-II,Women,2019,950
1500m,NCAA D-II,Women,2021,959
1500m,NCAA D-II,Women,2022,976
1500m,NCAA D-II,Women,2023,985
1500m,NCAA D-III,Men,2010,915
1500m,NCAA D-III,Men,2011,926
1500m,NCAA D-III,Men,2012,928
1500m,NCAA D-III,Men,2013,925
1500m,NCAA D-III,Men,2014,932
1500m,NCAA D-III,Men,2015,934
1500m,NCAA D-III,Men,2016,936
1500m,NCAA D-III,Men,2017,931
1500m,NCAA D-III,Men,2018,927
1500m,NCAA D-III,Men,2019,925
1500m,NCAA D-III,Men,2021,932
1500m,NCAA D-III,Men,2022,972
1500m,NCAA D-III,Men,2023,980
1500m,NCAA D-III,Women,2010,908
1500m,NCAA D-III,Women,2011,908
1500m,NCAA D-III,Women,2012,918
1500m,NCAA D-III,Women,2013,924
1500m,NCAA D-III,Women,2014,922
1500m,NCAA D-III,Women,2015,926
1500m,NCAA D-III,Women,2016,932
1500m,NCAA D-III,Women,2017,922
1500m,NCAA D-III,Women,2018,932
1500m,NCAA D-III,Women,2019,913
1500m,NCAA D-III,Women,2021,898
1500m,NCAA D-III,Women,2022,926
1500m,NCAA D-III,Women,2023,944
1500m,World,Men,2010,1169
1500m,World,Men,2011,1175
1500m,World,Men,2012,1178
1500m,World,Men,2013,1175
1500m,World,Men,2014,1168
1500m,World,Men,2015,1172
1500m,World,Men,2016,1166
1500m,World,Men,2017,1167
1500m,World,Men,2018,1164
1500m,World,Men,2019,1169
1500m,World,Men,2021,1187
1500m,World,Men,2022,1177
1500m,World,Men,2023,1198
1500m,World,Women,2010,1154
1500m,World,Women,2011,1158
1500m,World,Women,2012,1161
1500m,World,Women,2013,1157
1500m,World,Women,2014,1159
1500m,World,Women,2015,1161
1500m,World,Women,2016,1164
1500m,World,Women,2017,1165
1500m,World,Women,2018,1164
1500m,World,Women,2019,1169
1500m,World,Women,2021,1177
1500m,World,Women,2022,1179
1500m,World,Women,2023,1187
1600m,Kansas 1A,Men,2010,328
1600m,Kansas 1A,Men,2011,440
1600m,Kansas 1A,Men,2012,378
1600m,Kansas 1A,Men,2013,409
1600m,Kansas 1A,Men,2014,431
1600m,Kansas 1A,Men,2015,423
1600m,Kansas 1A,Men,2016,418
1600m,Kansas 1A,Men,2017,420
1600m,Kansas 1A,Men,2018,378
1600m,Kansas 1A,Men,2019,404
1600m,Kansas 1A,Men,2021,351
1600m,Kansas 1A,Men,2022,347
1600m,Kansas 1A,Men,2023,372
1600m,Kansas 1A,Women,2010,454
1600m,Kansas 1A,Women,2011,557
1600m,Kansas 1A,Women,2012,406
1600m,Kansas 1A,Women,2013,462
1600m,Kansas 1A,Women,2014,490
1600m,Kansas 1A,Women,2015,487
1600m,Kansas 1A,Women,2016,457
1600m,Kansas 1A,Women,2017,450
1600m,Kansas 1A,Women,2018,419
1600m,Kansas 1A,Women,2019,449
1600m,Kansas 1A,Women,2021,422
1600m,Kansas 1A,Women,2022,392
1600m,Kansas 1A,Women,2023,461
1600m,Kansas 3A,Men,2010,377
1600m,Kansas 3A,Men,2011,352
1600m,Kansas 3A,Men,2012,411
1600m,Kansas 3A,Men,2013,410
1600m,Kansas 3A,Men,2014,426
1600m,Kansas 3A,Men,2015,441
1600m,Kansas 3A,Men,2016,451
1600m,Kansas 3A,Men,2017,463
1600m,Kansas 3A,Men,2018,458
1600m,Kansas 3A,Men,2019,469
1600m,Kansas 3A,Men,2021,490
1600m,Kansas 3A,Men,2022,511
1600m,Kansas 3A,Men,2023,519
1600m,Kansas 3A,Women,2010,464
1600m,Kansas 3A,Women,2011,508
1600m,Kansas 3A,Women,2012,502
1600m,Kansas 3A,Women,2013,526
1600m,Kansas 3A,Women,2014,529
1600m,Kansas 3A,Women,2015,534
1600m,Kansas 3A,Women,2016,557
1600m,Kansas 3A,Women,2017,536
1600m,Kansas 3A,Women,2018,509
1600m,Kansas 3A,Women,2019,518
1600m,Kansas 3A,Women,2021,543
1600m,Kansas 3A,Women,2022,527
1600m,Kansas 3A,Women,2023,552
1600m,Kansas 6A,Men,2010,613
1600m,Kansas 6A,Men,2011,485
1600m,Kansas 6A,Men,2012,645
1600m,Kansas 6A,Men,2013,617
1600m,Kansas 6A,Men,2014,636
1600m,Kansas 6A,Men,2015,656
1600m,Kansas 6A,Men,2016,640
1600m,Kansas 6A,Men,2017,633
1600m,Kansas 6A,Men,2018,642
1600m,Kansas 6A,Men,2019,640
1600m,Kansas 6A,Men,2021,644
1600m,Kansas 6A,Men,2022,668
1600m,Kansas 6A,Men,2023,694
1600m,Kansas 6A,Women,2010,639
1600m,Kansas 6A,Women,2011,546
1600m,Kansas 6A,Women,2012,665
1600m,Kansas 6A,Women,2013,646
1600m,Kansas 6A,Women,2014,666
1600m,Kansas 6A,Women,2015,685
1600m,Kansas 6A,Women,2016,674
1600m,Kansas 6A,Women,2017,690
1600m,Kansas 6A,Women,2018,689
1600m,Kansas 6A,Women,2019,693
1600m,Kansas 6A,Women,2021,690
1600m,Kansas 6A,Women,2022,682
1600m,Kansas 6A,Women,2023,677
200m,Kansas 1A,Men,2010,633
200m,Kansas 1A,Men,2011,628
200m,Kansas 1A,Men,2012,650
200m,Kansas 1A,Men,2013,645
200m,Kansas 1A,Men,2014,680
200m,Kansas 1A,Men,2015,650
200m,Kansas 1A,Men,2016,667
200m,Kansas 1A,Men,2017,682
200m,Kansas 1A,Men,2018,637
200m,Kansas 1A,Men,2019,657
200m,Kansas 1A,Men,2021,644
200m,Kansas 1A,Men,2022,632
200m,Kansas 1A,Men,2023,649
200m,Kansas 1A,Women,2010,596
200m,Kansas 1A,Women,2011,666
200m,Kansas 1A,Women,2012,616
200m,Kansas 1A,Women,2013,623
200m,Kansas 1A,Women,2014,648
200m,Kansas 1A,Women,2015,654
200m,Kansas 1A,Women,2016,682
200m,Kansas 1A,Women,2017,664
200m,Kansas 1A,Women,2018,647
200m,Kansas 1A,Women,2019,651
200m,Kansas 1A,Women,2021,639
200m,Kansas 1A,Women,2022,633
200m,Kansas 1A,Women,2023,647
200m,Kansas 3A,Men,2010,618
200m,Kansas 3A,Men,2011,613
200m,Kansas 3A,Men,2012,673
200m,Kansas 3A,Men,2013,651
200m,Kansas 3A,Men,2014,690
200m,Kansas 3A,Men,2015,690
200m,Kansas 3A,Men,2016,707
200m,Kansas 3A,Men,2017,710
200m,Kansas 3A,Men,2018,705
200m,Kansas 3A,Men,2019,707
200m,Kansas 3A,Men,2021,722
200m,Kansas 3A,Men,2022,711
200m,Kansas 3A,Men,2023,731
200m,Kansas 3A,Women,2010,600
200m,Kansas 3A,Women,2011,606
200m,Kansas 3A,Women,2012,655
200m,Kansas 3A,Women,2013,645
200m,Kansas 3A,Women,2014,674
200m,Kansas 3A,Women,2015,664
200m,Kansas 3A,Women,2016,694
200m,Kansas 3A,Women,2017,676
200m,Kansas 3A,Women,2018,699
200m,Kansas 3A,Women,2019,672
200m,Kansas 3A,Women,2021,688
200m,Kansas 3A,Women,2022,688
200m,Kansas 3A,Women,2023,704
200m,Kansas 6A,Men,2010,746
200m,Kansas 6A,Men,2011,699
