Event,Division,Sex,Year,Points
Pole Vault,NCAA D-I,Men,2015,1065
Pole Vault,NCAA D-I,Men,2016,1066
Pole Vault,NCAA D-I,Men,2017,1061
Pole Vault,NCAA D-I,Men,2018,1071
Pole Vault,NCAA D-I,Men,2019,1067
Pole Vault,NCAA D-I,Men,2021,1074
Pole Vault,NCAA D-I,Men,2022,1070
Pole Vault,NCAA D-I,Men,2023,1080
Pole Vault,NCAA D-I,Men,2024,954
Pole Vault,NCAA D-I,Women,2010,970
Pole Vault,NCAA D-I,Women,2011,980
Pole Vault,NCAA D-I,Women,2012,983
Pole Vault,NCAA D-I,Women,2013,976
Pole Vault,NCAA D-I,Women,2014,991
Pole Vault,NCAA D-I,Women,2015,1007
Pole Vault,NCAA D-I,Women,2016,1009
Pole Vault,NCAA D-I,Women,2017,1004
Pole Vault,NCAA D-I,Women,2018,1004
Pole Vault,NCAA D-I,Women,2019,1010
Pole Vault,NCAA D-I,Women,2021,1010
Pole Vault,NCAA D-I,Women,2022,1018
Pole Vault,NCAA D-I,Women,2023,1012
Pole Vault,NCAA D-I,Women,2024,912
Pole Vault,NCAA D-II,Men,2010,909
Pole Vault,NCAA D-II,Men,2011,906
Pole Vault,NCAA D-II,Men,2012,902
Pole Vault,NCAA D-II,Men,2013,932
Pole Vault,NCAA D-II,Men,2014,924
Pole Vault,NCAA D-II,Men,2015,935
Pole Vault,NCAA D-II,Men,2016,934
Pole Vault,NCAA D-II,Men,2017,944
Pole Vault,NCAA D-II,Men,2018,940
Pole Vault,NCAA D-II,Men,2019,943
Pole Vault,NCAA D-II,Men,2021,949
Pole Vault,NCAA D-II,Men,2022,940
Pole Vault,NCAA D-II,Men,2023,951
Pole Vault,NCAA D-II,Women,2010,785
Pole Vault,NCAA D-II,Women,2011,796
Pole Vault,NCAA D-II,Women,2012,812
Pole Vault,NCAA D-II,Women,2013,835
Pole Vault,NCAA D-II,Women,2014,834
Pole Vault,NCAA D-II,Women,2015,837
Pole Vault,NCAA D-II,Women,2016,842
Pole Vault,NCAA D-II,Women,2017,846
Pole Vault,NCAA D-II,Women,2018,857
Pole Vault,NCAA D-II,Women,2019,868
Pole Vault,NCAA D-II,Women,2021,880
Pole Vault,NCAA D-II,Women,2022,894
Pole Vault,NCAA D-II,Women,2023,878
Pole Vault,NCAA D-III,Men,2010,895
Pole Vault,NCAA D-III,Men,2011,909
Pole Vault,NCAA D-III,Men,2012,918
Pole Vault,NCAA D-III,Men,2013,899
Pole Vault,NCAA D-III,Men,2014,897
Pole Vault,NCAA D-III,Men,2015,907
Pole Vault,NCAA D-III,Men,2016,905
Pole Vault,NCAA D-III,Men,2017,906
Pole Vault,NCAA D-III,Men,2018,910
Pole Vault,NCAA D-III,Men,2019,898
Pole Vault,NCAA D-III,Men,2021,889
Pole Vault,NCAA D-III,Men,2022,908
Pole Vault,NCAA D-III,Men,2023,906
Pole Vault,NCAA D-III,Women,2010,780
Pole Vault,NCAA D-III,Women,2011,779
Pole Vault,NCAA D-III,Women,2012,800
Pole Vault,NCAA D-III,Women,2013,799
Pole Vault,NCAA D-III,Women,2014,803
Pole Vault,NCAA D-III,Women,2015,820
Pole Vault,NCAA D-III,Women,2016,830
Pole Vault,NCAA D-III,Women,2017,831
Pole Vault,NCAA D-III,Women,2018,820
Pole Vault,NCAA D-III,Women,2019,830
Pole Vault,NCAA D-III,Women,2021,791
Pole Vault,NCAA D-III,Women,2022,828
Pole Vault,NCAA D-III,Women,2023,833
Pole Vault,World,Men,2010,1157
Pole Vault,World,Men,2011,1158
Pole Vault,World,Men,2012,1163
Pole Vault,World,Men,2013,1167
Pole Vault,World,Men,2014,1165
Pole Vault,World,Men,2015,1167
Pole Vault,World,Men,2016,1176
Pole Vault,World,Men,2017,1173
Pole Vault,World,Men,2018,1176
Pole Vault,World,Men,2019,1178
Pole Vault,World,Men,2021,1183
Pole Vault,World,Men,2022,1181
Pole Vault,World,Men,2023,1184
Pole Vault,World,Women,2010,1095
Pole Vault,World,Women,2011,1102
Pole Vault,World,Women,2012,1109
Pole Vault,World,Women,2013,1109
Pole Vault,World,Women,2014,1107
Pole Vault,World,Women,2015,1117
Pole Vault,World,Women,2016,1128
Pole Vault,World,Women,2017,1118
Pole Vault,World,Women,2018,1120
Pole Vault,World,Women,2019,1126
Pole Vault,World,Women,2021,1127
Pole Vault,World,Women,2022,1123
Pole Vault,World,Women,2023,1125
Shot Put,Kansas 1A,Men,2010,661
Shot Put,Kansas 1A,Men,2011,650
Shot Put,Kansas 1A,Men,2012,670
Shot Put,Kansas 1A,Men,2013,689
Shot Put,Kansas 1A,Men,2014,702
Shot Put,Kansas 1A,Men,2015,704
Shot Put,Kansas 1A,Men,2016,696
Shot Put,Kansas 1A,Men,2017,692
Shot Put,Kansas 1A,Men,2018,681
Shot Put,Kansas 1A,Men,2019,684
Shot Put,Kansas 1A,Men,2021,671
Shot Put,Kansas 1A,Men,2022,674
Shot Put,Kansas 1A,Men,2023,671
Shot Put,Kansas 1A,Women,2010,550
Shot Put,Kansas 1A,Women,2011,556
Shot Put,Kansas 1A,Women,2012,557
Shot Put,Kansas 1A,Women,2013,563
Shot Put,Kansas 1A,Women,2014,558
Shot Put,Kansas 1A,Women,2015,565
Shot Put,Kansas 1A,Women,2016,586
Shot Put,Kansas 1A,Women,2017,580
Shot Put,Kansas 1A,Women,2018,582
Shot Put,Kansas 1A,Women,2019,592
Shot Put,Kansas 1A,Women,2021,580
Shot Put,Kansas 1A,Women,2022,586
Shot Put,Kansas 1A,Women,2023,583
Shot Put,Kansas 3A,Men,2010,669
Shot Put,Kansas 3A,Men,2011,665
Shot Put,Kansas 3A,Men,2012,674
Shot Put,Kansas 3A,Men,2013,688
Shot Put,Kansas 3A,Men,2014,685
Shot Put,Kansas 3A,Men,2015,687
Shot Put,Kansas 3A,Men,2016,696
Shot Put,Kansas 3A,Men,2017,686
Shot Put,Kansas 3A,Men,2018,696
Shot Put,Kansas 3A,Men,2019,715
Shot Put,Kansas 3A,Men,2021,714
Shot Put,Kansas 3A,Men,2022,719
Shot Put,Kansas 3A,Men,2023,737
Shot Put,Kansas 3A,Women,2010,525
Shot Put,Kansas 3A,Women,2011,544
Shot Put,Kansas 3A,Women,2012,530
Shot Put,Kansas 3A,Women,2013,532
Shot Put,Kansas 3A,Women,2014,550
Shot Put,Kansas 3A,Women,2015,560
Shot Put,Kansas 3A,Women,2016,582
Shot Put,Kansas 3A,Women,2017,584
Shot Put,Kansas 3A,Women,2018,573
Shot Put,Kansas 3A,Women,2019,590
Shot Put,Kansas 3A,Women,2021,577
Shot Put,Kansas 3A,Women,2022,599
Shot Put,Kansas 3A,Women,2023,598
Shot Put,Kansas 6A,Men,2010,724
Shot Put,Kansas 6A,Men,2011,693
Shot Put,Kansas 6A,Men,2012,714
Shot Put,Kansas 6A,Men,2013,715
Shot Put,Kansas 6A,Men,2014,715
Shot Put,Kansas 6A,Men,2015,722
Shot Put,Kansas 6A,Men,2016,727
Shot Put,Kansas 6A,Men,2017,730
Shot Put,Kansas 6A,Men,2018,734
Shot Put,Kansas 6A,Men,2019,740
Shot Put,Kansas 6A,Men,2021,733
Shot Put,Kansas 6A,Men,2022,743
Shot Put,Kansas 6A,Men,2023,741
Shot Put,Kansas 6A,Women,2010,552
Shot Put,Kansas 6A,Women,2011,550
Shot Put,Kansas 6A,Women,2012,566
Shot Put,Kansas 6A,Women,2013,563
Shot Put,Kansas 6A,Women,2014,571
Shot Put,Kansas 6A,Women,2015,581
Shot Put,Kansas 6A,Women,2016,564
Shot Put,Kansas 6A,Women,2017,582
Shot Put,Kansas 6A,Women,2018,577
Shot Put,Kansas 6A,Women,2019,579
Shot Put,Kansas 6A,Women,2021,554
Shot Put,Kansas 6A,Women,2022,548
Shot Put,Kansas 6A,Women,2023,584
Shot Put,NAIA,Men,2010,797
Shot Put,NAIA,Men,2011,812
Shot Put,NAIA,Men,2012,818
Shot Put,NAIA,Men,2013,800
Shot Put,NAIA,Men,2014,800
Shot Put,NAIA,Men,2015,814
Shot Put,NAIA,Men,2016,804
Shot Put,NAIA,Men,2017,814
Shot Put,NAIA,Men,2018,828
Shot Put,NAIA,Men,2019,822
Shot Put,NAIA,Men,2021,825
Shot Put,NAIA,Men,2022,829
Shot Put,NAIA,Men,2023,835
Shot Put,NAIA,Women,2010,735
Shot Put,NAIA,Women,2011,735
Shot Put,NAIA,Women,2012,740
Shot Put,NAIA,Women,2013,742
Shot Put,NAIA,Women,2014,742
Shot Put,NAIA,Women,2015,747
Shot Put,NAIA,Women,2016,743
Shot Put,NAIA,Women,2017,747
Shot Put,NAIA,Women,2018,749
Shot Put,NAIA,Women,2019,751
Shot Put,NAIA,Women,2021,746
Shot Put,NAIA,Women,2022,755
Shot Put,NAIA,Women,2023,756
Shot Put,NCAA D-I,Men,2010,987
Shot Put,NCAA D-I,Men,2011,985
Shot Put,NCAA D-I,Men,2012,1004
Shot Put,NCAA D-I,Men,2013,1001
Shot Put,NCAA D-I,Men,2014,1027
Shot Put,NCAA D-I,Men,2015,1033
Shot Put,NCAA D-I,Men,2016,1021
Shot Put,NCAA D-I,Men,2017,1029
Shot Put,NCAA D-I,Men,2018,1032
Shot Put,NCAA D-I,Men,2019,1040
Shot Put,NCAA D-I,Men,2021,1049
Shot Put,NCAA D-I,Men,2022,1044
Shot Put,NCAA D-I,Men,2023,1047
Shot Put,NCAA D-I,Men,2024,935
Shot Put,NCAA D-I,Women,2010,928
Shot Put,NCAA D-I,Women,2011,945
Shot Put,NCAA D-I,Women,2012,951
Shot Put,NCAA D-I,Women,2013,956
Shot Put,NCAA D-I,Women,2014,951
Shot Put,NCAA D-I,Women,2015,956
Shot Put,NCAA D-I,Women,2016,964
Shot Put,NCAA D-I,Women,2017,961
Shot Put,NCAA D-I,Women,2018,967
Shot Put,NCAA D-I,Women,2019,966
Shot Put,NCAA D-I,Women,2021,989
Shot Put,NCAA D-I,Women,2022,990
Shot Put,NCAA D-I,Women,2023,996
Shot Put,NCAA D-I,Women,2024,884
Shot Put,NCAA D-II,Men,2010,877
Shot Put,NCAA D-II,Men,2011,867
Shot Put,NCAA D-II,Men,2012,870
Shot Put,NCAA D-II,Men,2013,886
Shot Put,NCAA D-II,Men,2014,883
Shot Put,NCAA D-II,Men,2015,884
Shot Put,NCAA D-II,Men,2016,890
Shot Put,NCAA D-II,Men,2017,897
Shot Put,NCAA D-II,Men,2018,907
Shot Put,NCAA D-II,Men,2019,927
Shot Put,NCAA D-II,Men,2021,921
Shot Put,NCAA D-II,Men,2022,914
Shot Put,NCAA D-II,Men,2023,919
Shot Put,NCAA D-II,Women,2010,782
Shot Put,NCAA D-II,Women,2011,794
Shot Put,NCAA D-II,Women,2012,801
Shot Put,NCAA D-II,Women,2013,796
Shot Put,NCAA D-II,Women,2014,807
Shot Put,NCAA D-II,Women,2015,811
Shot Put,NCAA D-II,Women,2016,814
Shot Put,NCAA D-II,Women,2017,821
Shot Put,NCAA D-II,Women,2018,830
Shot Put,NCAA D-II,Women,2019,839
Shot Put,NCAA D-II,Women,2021,824
Shot Put,NCAA D-II,Women,2022,822
Shot Put,NCAA D-II,Women,2023,817
Shot Put,NCAA D-III,Men,2010,849
Shot Put,NCAA D-III,Men,2011,853
Shot Put,NCAA D-III,Men,2012,860
Shot Put,NCAA D-III,Men,2013,858
Shot Put,NCAA D-III,Men,2014,862
Shot Put,NCAA D-III,Men,2015,860
Shot Put,NCAA D-III,Men,2016,861
Shot Put,NCAA D-III,Men,2017,859
Shot Put,NCAA D-III,Men,2018,856
Shot Put,NCAA D-III,Men,2019,861
Shot Put,NCAA D-III,Men,2021,839
Shot Put,NCAA D-III,Men,2022,848
Shot Put,NCAA D-III,Men,2023,859
Shot Put,NCAA D-III,Women,2010,739
Shot Put,NCAA D-III,Women,2011,751
Shot Put,NCAA D-III,Women,2012,760
Shot Put,NCAA D-III,Women,2013,762
Shot Put,NCAA D-III,Women,2014,771
Shot Put,NCAA D-III,Women,2015,770
Shot Put,NCAA D-III,Women,2016,763
Shot Put,NCAA D-III,Women,2017,778
Shot Put,NCAA D-III,Women,2018,774
Shot Put,NCAA D-III,Women,2019,772
Shot Put,NCAA D-III,Women,2021,761
Shot Put,NCAA D-III,Women,2022,772
Shot Put,NCAA D-III,Women,2023,780
Shot Put,World,Men,2010,1123
Shot Put,World,Men,2011,1129
Shot Put,World,Men,2012,1138
Shot Put,World,Men,2013,1130
Shot Put,World,Men,2014,1141
Shot Put,World,Men,2015,1141
Shot Put,World,Men,2016,1146
Shot Put,World,Men,2017,1149
Shot Put,World,Men,2018,1149
Shot Put,World,Men,2019,1165
Shot Put,World,Men,2021,1169
Shot Put,World,Men,2022,1163
Shot Put,World,Men,2023,1162
Shot Put,World,Women,2010,1061
Shot Put,World,Women,2011,1061
Shot Put,World,Women,2012,1077
Shot Put,World,Women,2013,1059
Shot Put,World,Women,2014,1058
Shot Put,World,Women,2015,1070
Shot Put,World,Women,2016,1083
Shot Put,World,Women,2017,1075
Shot Put,World,Women,2018,1076
Shot Put,World,Women,2019,1077
Shot Put,World,Women,2021,1092
Shot Put,World,Women,2022,1085
Shot Put,World,Women,2023,1084
Triple Jump,Kansas 1A,Men,2010,602
Triple Jump,Kansas 1A,Men,2011,628
Triple Jump,Kansas 1A,Men,2012,586
Triple Jump,Kansas 1A,Men,2013,619
Triple Jump,Kansas 1A,Men,2014,629
Triple Jump,Kansas 1A,Men,2015,626
Triple Jump,Kansas 1A,Men,2016,643
Triple Jump,Kansas 1A,Men,2017,619
Triple Jump,Kansas 1A,Men,2018,622
Triple Jump,Kansas 1A,Men,2019,635
Triple Jump,Kansas 1A,Men,2021,635
Triple Jump,Kansas 1A,Men,2022,632
Triple Jump,Kansas 1A,Men,2023,609
Triple Jump,Kansas 1A,Women,2010,658
Triple Jump,Kansas 1A,Women,2011,713
Triple Jump,Kansas 1A,Women,2012,653
Triple Jump,Kansas 1A,Women,2013,660
Triple Jump,Kansas 1A,Women,2014,662
Triple Jump,Kansas 1A,Women,2015,664
Triple Jump,Kansas 1A,Women,2016,672
Triple Jump,Kansas 1A,Women,2017,681
Triple Jump,Kansas 1A,Women,2018,687
Triple Jump,Kansas 1A,Women,2019,674
Triple Jump,Kansas 1A,Women,2021,659
Triple Jump,Kansas 1A,Women,2022,679
Triple Jump,Kansas 1A,Women,2023,675
Triple Jump,Kansas 3A,Men,2010,555
Triple Jump,Kansas 3A,Men,2011,632
Triple Jump,Kansas 3A,Men,2012,617
Triple Jump,Kansas 3A,Men,2013,619
Triple Jump,Kansas 3A,Men,2014,622
Triple Jump,Kansas 3A,Men,2015,619
Triple Jump,Kansas 3A,Men,2016,627
Triple Jump,Kansas 3A,Men,2017,633
Triple Jump,Kansas 3A,Men,2018,639
Triple Jump,Kansas 3A,Men,2019,636
Triple Jump,Kansas 3A,Men,2021,633
Triple Jump,Kansas 3A,Men,2022,642
Triple Jump,Kansas 3A,Men,2023,661
Triple Jump,Kansas 3A,Women,2010,631
Triple Jump,Kansas 3A,Women,2011,711
Triple Jump,Kansas 3A,Women,2012,641
Triple Jump,Kansas 3A,Women,2013,642
Triple Jump,Kansas 3A,Women,2014,646
Triple Jump,Kansas 3A,Women,2015,660
Triple Jump,Kansas 3A,Women,2016,675
Triple Jump,Kansas 3A,Women,2017,679
Triple Jump,Kansas 3A,Women,2018,672
Triple Jump,Kansas 3A,Women,2019,677
Triple Jump,Kansas 3A,Women,2021,679
Triple Jump,Kansas 3A,Women,2022,682
Triple Jump,Kansas 3A,Women,2023,701
Triple Jump,Kansas 6A,Men,2010,662
Triple Jump,Kansas 6A,Men,2011,663
Triple Jump,Kansas 6A,Men,2012,667
Triple Jump,Kansas 6A,Men,2013,663
Triple Jump,Kansas 6A,Men,2014,683
Triple Jump,Kansas 6A,Men,2015,674
Triple Jump,Kansas 6A,Men,2016,685
Triple Jump,Kansas 6A,Men,2017,674
Triple Jump,Kansas 6A,Men,2018,693
Triple Jump,Kansas 6A,Men,2019,677
Triple Jump,Kansas 6A,Men,2021,643
Triple Jump,Kansas 6A,Men,2022,652
Triple Jump,Kansas 6A,Men,2023,660
Triple Jump,Kansas 6A,Women,2010,701
Triple Jump,Kansas 6A,Women,2011,712
Triple Jump,Kansas 6A,Women,2012,668
Triple Jump,Kansas 6A,Women,2013,681
Triple Jump,Kansas 6A,Women,2014,687
Triple Jump,Kansas 6A,Women,2015,675
Triple Jump,Kansas 6A,Women,2016,694
Triple Jump,Kansas 6A,Women,2017,695
Triple Jump,Kansas 6A,Women,2018,710
Triple Jump,Kansas 6A,Women,2019,714
Triple Jump,Kansas 6A,Women,2021,676
Triple Jump,Kansas 6A,Women,2022,675
Triple Jump,Kansas 6A,Women,2023,675
Triple Jump,NAIA,Men,2010,806
Triple Jump,NAIA,Men,2011,828
Triple Jump,NAIA,Men,2012,823
Triple Jump,NAIA,Men,2013,801
Triple Jump,NAIA,Men,2014,807
Triple Jump,NAIA,Men,2015,822
Triple Jump,NAIA,Men,2016,823
Triple Jump,NAIA,Men,2017,831
Triple Jump,NAIA,Men,2018,848
Triple Jump,NAIA,Men,2019,844
Triple Jump,NAIA,Men,2021,839
Triple Jump,NAIA,Men,2022,846
Triple Jump,NAIA,Men,2023,849
Triple Jump,NAIA,Women,2010,792
Triple Jump,NAIA,Women,2011,809
Triple Jump,NAIA,Women,2012,808
Triple Jump,NAIA,Women,2013,810
Triple Jump,NAIA,Women,2014,830
Triple Jump,NAIA,Women,2015,829
Triple Jump,NAIA,Women,2016,824
Triple Jump,NAIA,Women,2017,825
Triple Jump,NAIA,Women,2018,830
Triple Jump,NAIA,Women,2019,846
Triple Jump,NAIA,Women,2021,841
Triple Jump,NAIA,Women,2022,842
Triple Jump,NAIA,Women,2023,839
Triple Jump,NCAA D-I,Men,2010,1009
Triple Jump,NCAA D-I,Men,2011,1016
Triple Jump,NCAA D-I,Men,2012,1014
Triple Jump,NCAA D-I,Men,2013,1007
Triple Jump,NCAA D-I,Men,2014,1005
Triple Jump,NCAA D-I,Men,2015,1022
Triple Jump,NCAA D-I,Men,2016,1023
Triple Jump,NCAA D-I,Men,2017,1030
Triple Jump,NCAA D-I,Men,2018,1029
Triple Jump,NCAA D-I,Men,2019,1020
Triple Jump,NCAA D-I,Men,2021,1036
Triple Jump,NCAA D-I,Men,2022,1031
Triple Jump,NCAA D-I,Men,2023,1030
Triple Jump,NCAA D-I,Men,2024,860
Triple Jump,NCAA D-I,Women,2010,987
Triple Jump,NCAA D-I,Women,2011,997
Triple Jump,NCAA D-I,Women,2012,994
Triple Jump,NCAA D-I,Women,2013,992
Triple Jump,NCAA D-I,Women,2014,998
Triple Jump,NCAA D-I,Women,2015,996
Triple Jump,NCAA D-I,Women,2016,1002
Triple Jump,NCAA D-I,Women,2017,1009
Triple Jump,NCAA D-I,Women,2018,1013
Triple Jump,NCAA D-I,Women,2019,1011
Triple Jump,NCAA D-I,Women,2021,1022
Triple Jump,NCAA D-I,Women,2022,1021
Triple Jump,NCAA D-I,Women,2023,1018
Triple Jump,NCAA D-I,Women,2024,924
Triple Jump,NCAA D-II,Men,2010,881
Triple Jump,NCAA D-II,Men,2011,887
Triple Jump,NCAA D-II,Men,2012,901
Triple Jump,NCAA D-II,Men,2013,907
Triple Jump,NCAA D-II,Men,2014,900
Triple Jump,NCAA D-II,Men,2015,903
Triple Jump,NCAA D-II,Men,2016,920
Triple Jump,NCAA D-II,Men,2017,920
Triple Jump,NCAA D-II,Men,2018,926
Triple Jump,NCAA D-II,Men,2019,920
Triple Jump,NCAA D-II,Men,2021,914
Triple Jump,NCAA D-II,Men,2022,920
Triple Jump,NCAA D-II,Men,2023,920
Triple Jump,NCAA D-II,Women,2010,863
Triple Jump,NCAA D-II,Women,2011,869
Triple Jump,NCAA D-II,Women,2012,892
Triple Jump,NCAA D-II,Women,2013,890
Triple Jump,NCAA D-II,Women,2014,893
Triple Jump,NCAA D-II,Women,2015,891
Triple Jump,NCAA D-II,Women,2016,898
Triple Jump,NCAA D-II,Women,2017,905
Triple Jump,NCAA D-II,Women,2018,906
Triple Jump,NCAA D-II,Women,2019,906
Triple Jump,NCAA D-II,Women,2021,901
Triple Jump,NCAA D-II,Women,2022,915
Triple Jump,NCAA D-II,Women,2023,908
Triple Jump,NCAA D-III,Men,2010,843
Triple Jump,NCAA D-III,Men,2011,858
Triple Jump,NCAA D-III,Men,2012,867
Triple Jump,NCAA D-III,Men,2013,852
Triple Jump,NCAA D-III,Men,2014,852
Triple Jump,NCAA D-III,Men,2015,859
Triple Jump,NCAA D-III,Men,2016,858
Triple Jump,NCAA D-III,Men,2017,870
Triple Jump,NCAA D-III,Men,2018,870
Triple Jump,NCAA D-III,Men,2019,867
Triple Jump,NCAA D-III,Men,2021,854
Triple Jump,NCAA D-III,Men,2022,869
Triple Jump,NCAA D-III,Men,2023,872
Triple Jump,NCAA D-III,Women,2010,836
Triple Jump,NCAA D-III,Women,2011,842
Triple Jump,NCAA D-III,Women,2012,858
Triple Jump,NCAA D-III,Women,2013,845
Triple Jump,NCAA D-III,Women,2014,842
Triple Jump,NCAA D-III,Women,2015,856
Triple Jump,NCAA D-III,Women,2016,853
Triple Jump,NCAA D-III,Women,2017,856
Triple Jump,NCAA D-III,Women,2018,861
Triple Jump,NCAA D-III,Women,2019,861
Triple Jump,NCAA D-III,Women,2021,853
Triple Jump,NCAA D-III,Women,2022,866
Triple Jump,NCAA D-III,Women,2023,868
Triple Jump,World,Men,2010,1150
Triple Jump,World,Men,2011,1155
Triple Jump,World,Men,2012,1150
Triple Jump,World,Men,2013,1139
Triple Jump,World,Men,2014,1137
Triple Jump,World,Men,2015,1145
Triple Jump,World,Men,2016,1148
Triple Jump,World,Men,2017,1151
Triple Jump,World,Men,2018,1146
Triple Jump,World,Men,2019,1155
Triple Jump,World,Men,2021,1145
Triple Jump,World,Men,2022,1139
Triple Jump,World,Men,2023,1141
Triple Jump,World,Women,2010,1122
Triple Jump,World,Women,2011,1135
Triple Jump,World,Women,2012,1135
Triple Jump,World,Women,2013,1126
Triple Jump,World,Women,2014,1117
Triple Jump,World,Women,2015,1117
Triple Jump,World,Women,2016,1120
Triple Jump,World,Women,2017,1110
Triple Jump,World,Women,2018,1120
Triple Jump,World,Women,2019,1120
Triple Jump,World,Women,2021,1125
Triple Jump,World,Women,2022,1117
Triple Jump,World,Women,2023,1120
